省份,城市,City,小学阶段万人_全市,小学阶段万人_市辖区,学前教育人_全市,学前教育人_市辖区
安徽省,  马鞍山市, Ma'anshan,12,5,55605,24967
安徽省,  淮北市, Huaibei,18,9,66110,32562
安徽省,  铜陵市, Tongling,7,5,28323,19680
安徽省,  安庆市, Anqing,27,5,104677,22500
安徽省,  黄山市, Huangshan,8,3,36679,17201
安徽省,  滁州市, Chuzhou,26,6,116253,29100
安徽省,  阜阳市, Fuyang,78,22,245514,70297
安徽省,  宿州市, Suzhou,50,18,178569,64212
安徽省,  六安市, Lu'an,31,16,115219,62700
安徽省,  亳州市, Bozhou,47,15,151318,48413
安徽省,  池州市, Chizhou,8,4,32215,15907
安徽省,  宣城市, Xuancheng,14,4,64859,21477
福建省,  福州市, Fuzhou,63,33,222880,125300
福建省,  厦门市, Xiamen,43,43,186606,186606
福建省,  莆田市, Putian,29,21,96302,70210
福建省,  三明市, Sanming,22,6,74844,20571
福建省,  泉州市, Quanzhou,88,17,317822,65867
福建省,  漳州市, Zhangzhou,46,20,164687,72859
