省份,城市,City,规模以上工业资产总计_全市,规模以上工业资产总计_市辖区,规模以上工业利润总额_全市,规模以上工业利润总额_市辖区
江苏省,  泰州市, Taizhou,81600121,35394739,4425885,1548877
江苏省,  宿迁市, Suqian,49399262,26674662,4091903,2173292
浙江省,  杭州市, Hangzhou,273207310,255937023,14260535,13077085
浙江省,  宁波市, Ningbo,280887771,172426706,13751688,8682243
浙江省,  温州市, Wenzhou,94541801,30299950,4025318,1298079
浙江省,  嘉兴市, Jiaxing,183961115,40277518,7394267,2104766
浙江省,  湖州市, Huzhou,85324637,32848207,3898156,1623715
浙江省,  绍兴市, Shaoxing,119159032,76342525,5083514,3266261
浙江省,  金华市, Jinhua,82369333,16513522,2827426,552016
浙江省,  衢州市, Quzhou,42076686,26469688,1289897,789138
浙江省,  舟山市, Zhoushan,51150761,15321673,661856,392197
浙江省,  台州市, Taizhou,100256514,33626016,4439677,1302878
浙江省,  丽水市, Lishui,24822206,9601598,1078633,347428
安徽省,  合肥市, Hefei,166198532,102505806,4734637,2806810
安徽省,  芜湖市, Wuhu,102138749,92865985,4489439,4050455
安徽省,  蚌埠市, Bengbu,21419916,14689980,617478,484626
安徽省,  淮南市, Huainan,31693279,27091697,1180983,814011
安徽省,  马鞍山市, Ma'anshan,39512857,28387128,885802,515159
安徽省,  淮北市, Huaibei,24811094,13896370,1302857,869987
安徽省,  铜陵市, Tongling,20744562,19318129,889323,815121
安徽省,  安庆市, Anqing,26506706,13298552,996559,405853
安徽省,  黄山市, Huangshan,6187853,3369833,253817,177763
安徽省,  滁州市, Chuzhou,58374394,22697777,3588882,891101
安徽省,  阜阳市, Fuyang,22916578,8717361,890466,319098
安徽省,  宿州市, Suzhou,12507603,7329903,589912,378273
安徽省,  六安市, Lu'an,26016385,9354802,1160753,319362
安徽省,  亳州市, Bozhou,18903731,11016113,1162593,888521
安徽省,  池州市, Chizhou,14294335,9024001,308530,226124
安徽省,  宣城市, Xuancheng,31815514,9184541,1132111,184796
福建省,  福州市, Fuzhou,97253127,38170262,4777330,1977354
